id;department_name;hod_name;status
1;Virtual;transmitter Seychelles Rupee;DISABLED
2;Incredible Cotton Pizza;scalable;DRAFT
3;Electronics Tasty Configuration;Intelligent Granite Shirt Savings Account;DRAFT
4;solution-oriented Specialist;Avon maximize;DISABLED
5;Sleek Soft Ball;Won;DRAFT
6;vortals Concrete;Unbranded Steel Towels Home distributed;DRAFT
7;salmon bypassing infrastructures;engineer capacity;ENABLED
8;web-enabled schemas program;Grocery;DRAFT
9;Licensed Home Loan Account New York;Hawaii;DISABLED
10;Orchestrator;Pennsylvania encryption payment;DELETED
