id;faculty_name;director_name;status
1;grey Concrete;Applications Cheese digital;DRAFT
2;bluetooth digital olive;application architectures redefine;DELETED
3;programming deposit Riel;Chair high-level;ENABLED
4;Alley compress Beauty;Idaho HDD;DELETED
5;Bedfordshire;Avon;DELETED
6;engineer Tunnel Missouri;methodical Product Way;DELETED
7;Granite Virginia bleeding-edge;yellow auxiliary Managed;DELETED
8;Coves Wisconsin Dynamic;Balboa US Dollar Investment Account Rustic;ARCHIVED
9;seize;Roads;ARCHIVED
10;Forward;dynamic Home Loan Account;DRAFT
